,Id,Title,Year,ImdbLink,IMDBScore,FirstGenre,SecondGenre,ThirdGenre,Director,FirstLeadingActor,SecondLeadingActor,ThirdLeadingActor,Poster
5184,5185,Prisoners (2013),2013,http://www.imdb.com/title/tt01392214,8.1,Crime,Drama,Mystery,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5185,5186,Out of the Furnace (2013),2013,http://www.imdb.com/title/tt01206543,6.8,Crime,Drama,Thriller,Scott Cooper,Christian Bale,Casey Affleck,Zoe Saldana,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MTQ4MDU4NV5BMl5BanBnXkFtZTgwOTU1ODgzMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5186,5187,Good Vibrations (2012),2012,http://www.imdb.com/title/tt01920945,7.2,Biography,Drama,Music,Lisa Barros D'Sa,Jodie Whittaker,Richard Dormer,Liam Cunningham,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyOTYwMDIwM15BMl5BanBnXkFtZTcwODQ4NzcyOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5187,5188,Rush (2013),2013,http://www.imdb.com/title/tt01979320,8.1,Action,Biography,Drama,Ron Howard,Daniel BrĂĽhl,Chris Hemsworth,Olivia Wilde,"https://images-na.ssl-images-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
5188,5189,The Family (2013),2013,http://www.imdb.com/title/tt02404311,6.3,Comedy,Crime,Thriller,Luc Besson,Robert De Niro,Michelle Pfeiffer,Dianna Agron,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MzI0MzkyNV5BMl5BanBnXkFtZTcwMjQ2MDM2OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5189,5190,The Jerk Theory (2009),2009,http://www.imdb.com/title/tt01145157,5.6,Comedy,Music,Romance,Scott S. Anderson,Josh Henderson,Jenna Dewan,Lauren Storm,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzg3NDI1MF5BMl5BanBnXkFtZTcwMTQ2NTk3Nw@@._V1_UY268_CR4,0,182,268_AL_.jpg"
5190,5191,Dragon Day (2013),2013,http://www.imdb.com/title/tt01772262,4,Drama,Sci-Fi,Thriller,Jeffrey Travis,Ethan Flower,Osa Wallander,Jenn Gotzon,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzczNjIwOTY0OV5BMl5BanBnXkFtZTgwMTg3NzkwMDE@._V1_UY268_CR3,0,182,268_AL_.jpg"
5191,5192,The Factory (2012),2012,http://www.imdb.com/title/tt01132285,5.8,Crime,Mystery,Thriller,Morgan O'Neill,John Cusack,Dallas Roberts,Vincent Messina,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3Mjk5MDk3OF5BMl5BanBnXkFtZTcwNjQ3MzEwOQ@@._V1_UY268_CR15,0,182,268_AL_.jpg"
5192,5193,Pig Hunt (2008),2008,http://www.imdb.com/title/tt01022883,4.8,Action,Horror,Thriller,James Isaac,Travis Aaron Wade,Tina Huang,Howard Johnson Jr.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzOTcxOTIzN15BMl5BanBnXkFtZTcwNzE0Njg1Mw@@._V1_UY268_CR4,0,182,268_AL_.jpg"
5193,5194,Princess Protection Program (2009),2009,http://www.imdb.com/title/tt01196339,5.6,Comedy,Drama,Family,Allison Liddi-Brown,Demi Lovato,Selena Gomez,Nicholas Braun,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTUyMzc4NF5BMl5BanBnXkFtZTcwMjM2MTMwMw@@._V1_UY268_CR5,0,182,268_AL_.jpg"
